Secteur;Commune;Population;lit_touristique;population_estivale_potentielle;coefficient_pression_estivale
Clinique Pasteur;Montagnac;4515;2064;6579;1,46
Clinique Pasteur;Neffiès;1008;0;1008;1,00
Clinique Pasteur;Nézignan-l’Évêque;1718;38;1756;1,02
Clinique Pasteur;Nizas;662;0;662;1,00
Clinique Pasteur;Paulhan;4039;0;4039;1,00
Clinique Pasteur;Péret;1137;0;1137;1,00
Clinique Pasteur;Pézenas;7797;1332;9129;1,17
Clinique Pasteur;Pinet;2049;626;2675;1,31
Clinique Pasteur;Pomérols;2299;0;2299;1,00
Clinique Pasteur;Pouzolles;1233;0;1233;1,00
Clinique Pasteur;Roujan;2336;0;2336;1,00
Clinique Pasteur;Saint-Pargoire;2501;0;2501;1,00
Clinique Pasteur;Saint-Pons-de-Mauchiens;667;0;667;1,00
Clinique Pasteur;Tourbes;1936;246;2182;1,13
Clinique Pasteur;Usclas-d’Hérault;439;0;439;1,00
Clinique Pasteur;Vailhan;142;0;142;1,00
Clinique Saint Privat;Autignac;982;0;982;1,00
Clinique Saint Privat;Bassan;2383;0;2383;1,00
Clinique Saint Privat;Bessan;5838;646;6484;1,11
Clinique Saint Privat;Boujan-sur-Libron;3619;74;3693;1,02
Clinique Saint Privat;Corneilhan;1622;0;1622;1,00
Clinique Saint Privat;Coulobres;367;0;367;1,00
Clinique Saint Privat;Espondeilhan;1268;0;1268;1,00
Clinique Saint Privat;Laurens;1815;438;2253;1,24
Clinique Saint Privat;Lieuran-lès-Béziers;1486;0;1486;1,00
Clinique Saint Privat;Lignan-sur-Orb;3227;90;3317;1,03
Clinique Saint Privat;Magalas;3582;0;3582;1,00
Clinique Saint Privat;Montblanc;2932;642;3574;1,22
Clinique Saint Privat;Pailhès;622;0;622;1,00
Clinique Saint Privat;Puimisson;1225;0;1225;1,00
Clinique Saint Privat;Puissalicon;1353;90;1443;1,07
Clinique Saint Privat;Saint-Geniès-de-Fontedit;1722;0;1722;1,00
Clinique Saint Privat;Saint-Thibéry;3132;438;3570;1,14
Clinique Saint Privat;Servian;5517;0;5517;1,00
Clinique Saint Privat;Thézan-lès-Béziers;3124;0;3124;1,00
Clinique Saint Privat;Valros;1685;0;1685;1,00
Clinique Saint Privat;Vias;5952;29994;35946;6,04
