code_insee;Nom_commune;Population;lit_touristique;population_estivale_potentielle;coefficient_pression_estivale
34135;Lespignan;3414;0;3414;1,00
34137;Liausson;156;0;156;1,00
34138;Lieuran-Cabrières;335;0;335;1,00
34139;Lieuran-lès-Béziers;1486;0;1486;1,00
34140;Lignan-sur-Orb;3227;90;3317;1,03
34142;Lodève;7251;1268;8519;1,17
34143;Loupian;2169;402;2571;1,19
34144;Lunas-les-Châteaux;832;160;992;1,19
34145;Lunel;26623;2654;29277;1,10
34146;Lunel-Viel;4507;0;4507;1,00
34136;Lézignan-la-Cèbe;1580;0;1580;1,00
34147;Magalas;3582;0;3582;1,00
34148;Maraussan;4789;0;4789;1,00
34149;Margon;778;26;804;1,03
34150;Marseillan;8414;14370;22784;2,71
34151;Marsillargues;6988;0;6988;1,00
34152;Mas-de-Londres;674;0;674;1,00
34154;Mauguio;16522;3618;20140;1,22
34155;Maureilhan;2495;0;2495;1,00
34158;Minerve;98;0;98;1,00
34159;Mireval;3301;0;3301;1,00
34160;Mons;678;832;1510;2,23
34161;Montady;3990;0;3990;1,00
34162;Montagnac;4515;2064;6579;1,46
34163;Montarnaud;4208;0;4208;1,00
34164;Montaud;1014;0;1014;1,00
34165;Montbazin;2877;0;2877;1,00
34166;Montblanc;2932;642;3574;1,22
34167;Montels;247;0;247;1,00
34168;Montesquieu;75;0;75;1,00
34169;Montferrier-sur-Lez;4135;100;4235;1,02
34170;Montouliers;242;0;242;1,00
34171;Montoulieu;189;256;445;2,35
34172;Montpellier;310240;14644;324884;1,05
34173;Montpeyroux;1449;0;1449;1,00
34174;Moulès-et-Baucels;875;28;903;1,03
34175;Mourèze;176;68;244;1,39
34176;Mudaison;3009;0;3009;1,00
34177;Murles;353;0;353;1,00
34178;Murviel-lès-Béziers;3000;0;3000;1,00
34179;Murviel-lès-Montpellier;2075;0;2075;1,00
34157;Mèze;12669;1306;13975;1,10
34156;Mérifons;62;0;62;1,00
34181;Neffiès;1008;0;1008;1,00
34183;Nissan-lez-Enserune;4124;362;4486;1,09
34184;Nizas;662;0;662;1,00
34185;Notre-Dame-de-Londres;520;0;520;1,00
34180;Nébian;1634;0;1634;1,00
34182;Nézignan-l'Évêque;1718;38;1756;1,02
34186;Octon;521;666;1187;2,28
34187;Olargues;488;20;508;1,04
34188;Olmet-et-Villecun;163;0;163;1,00
34189;Olonzac;1693;0;1693;1,00
34190;Oupia;274;0;274;1,00
34191;Pailhès;622;0;622;1,00
34192;Palavas-les-Flots;6133;9956;16089;2,62
34193;Pardailhan;193;0;193;1,00
34194;Paulhan;4039;0;4039;1,00
34201;Pierrerue;289;0;289;1,00
34202;Pignan;8431;0;8431;1,00
34203;Pinet;2049;626;2675;1,31
34204;Plaissan;1718;0;1718;1,00
34206;Poilhes;548;0;548;1,00
34207;Pomérols;2299;0;2299;1,00
34208;Popian;380;0;380;1,00
34209;Portiragnes;3530;11482;15012;4,25
34212;Poujols;190;0;190;1,00
34213;Poussan;6797;270;7067;1,04
34214;Pouzolles;1233;0;1233;1,00
34215;Pouzols;953;0;953;1,00
34217;Prades-le-Lez;6184;0;6184;1,00
34218;Prades-sur-Vernazobre;374;0;374;1,00
34219;Prémian;479;126;605;1,26
34222;Puilacher;657;0;657;1,00
34223;Puimisson;1225;0;1225;1,00
34224;Puissalicon;1353;90;1443;1,07
34225;Puisserguier;3078;0;3078;1,00
34221;Puéchabon;509;0;509;1,00
34195;Pégairolles-de-Buèges;54;0;54;1,00
34196;Pégairolles-de-l'Escalette;151;0;151;1,00
34197;Péret;1137;0;1137;1,00
34198;Pérols;9615;256;9871;1,03
34199;Pézenas;7797;1332;9129;1,17
34200;Pézènes-les-Mines;237;0;237;1,00
34226;Quarante;1776;0;1776;1,00
34227;Restinclières;2612;0;2612;1,00
34228;Rieussec;82;0;82;1,00
34229;Riols;708;0;708;1,00
34231;Romiguières;24;0;24;1,00
34232;Roquebrun;601;198;799;1,33
34233;Roqueredonde;211;0;211;1,00
34234;Roquessels;119;0;119;1,00
34235;Rosis;279;0;279;1,00
34236;Rouet;71;0;71;1,00
34237;Roujan;2336;0;2336;1,00
34238;Saint-André-de-Buèges;47;0;47;1,00
34239;Saint-André-de-Sangonis;6427;400;6827;1,06
34240;Saint-Aunès;4530;384;4914;1,08
34242;Saint-Bauzille-de-Montmel;1246;0;1246;1,00
34243;Saint-Bauzille-de-Putois;1766;0;1766;1,00
34241;Saint-Bauzille-de-la-Sylve;947;0;947;1,00
34244;Saint-Brès;3623;0;3623;1,00
34245;Saint-Chinian;1811;234;2045;1,13
34247;Saint-Clément-de-Rivière;5218;108;5326;1,02
34249;Saint-Drézéry;3006;0;3006;1,00
34254;Saint-Félix-de-Lodez;1135;0;1135;1,00
34253;Saint-Félix-de-l'Héras;33;118;151;4,58
34258;Saint-Geniès-de-Fontedit;1722;0;1722;1,00
34257;Saint-Geniès-de-Varensal;202;0;202;1,00
34256;Saint-Geniès-des-Mourgues;2148;50;2198;1,02
34259;Saint-Georges-d'Orques;5676;0;5676;1,00
34260;Saint-Gervais-sur-Mare;859;206;1065;1,24
34261;Saint-Guilhem-le-Désert;237;34;271;1,14
34262;Saint-Guiraud;267;0;267;1,00
34255;Saint-Gély-du-Fesc;10472;0;10472;1,00
34263;Saint-Hilaire-de-Beauvoir;461;0;461;1,00
34264;Saint-Jean-de-Buèges;208;0;208;1,00
34265;Saint-Jean-de-Cornies;858;0;858;1,00
34266;Saint-Jean-de-Cuculles;531;0;531;1,00
34267;Saint-Jean-de-Fos;1745;0;1745;1,00
34269;Saint-Jean-de-Minervois;131;0;131;1,00
34270;Saint-Jean-de-Védas;13328;1780;15108;1,13
34268;Saint-Jean-de-la-Blaquière;698;0;698;1,00
34271;Saint-Julien;228;0;228;1,00
34272;Saint-Just;3293;0;3293;1,00
34274;Saint-Martin-de-Londres;2696;662;3358;1,25
34273;Saint-Martin-de-l'Arçon;101;0;101;1,00
34276;Saint-Mathieu-de-Tréviers;4979;0;4979;1,00
34277;Saint-Maurice-Navacelles;185;58;243;1,31
34278;Saint-Michel;60;0;60;1,00
34279;Saint-Nazaire-de-Ladarez;327;0;327;1,00
34280;Saint-Nazaire-de-Pézan;625;0;625;1,00
34281;Saint-Pargoire;2501;0;2501;1,00
34282;Saint-Paul-et-Valmalle;1394;0;1394;1,00
34283;Saint-Pierre-de-la-Fage;122;0;122;1,00
34285;Saint-Pons-de-Mauchiens;667;0;667;1,00
34284;Saint-Pons-de-Thomières;1706;718;2424;1,42
34286;Saint-Privat;461;0;461;1,00
34287;Saint-Saturnin-de-Lucian;303;0;303;1,00
34288;Saint-Sériès;972;0;972;1,00
34289;Saint-Thibéry;3132;438;3570;1,14
34291;Saint-Vincent-d'Olargues;355;0;355;1,00
34290;Saint-Vincent-de-Barbeyrargues;775;0;775;1,00
34252;Saint-Étienne-Estréchoux;259;0;259;1,00
34250;Saint-Étienne-d'Albagnan;302;0;302;1,00
34251;Saint-Étienne-de-Gourgas;517;0;517;1,00
34248;Sainte-Croix-de-Quintillargues;984;0;984;1,00
34292;Salasc;357;0;357;1,00
34294;Saturargues;1022;0;1022;1,00
34295;Saussan;2069;0;2069;1,00
34296;Saussines;1001;0;1001;1,00
34297;Sauteyrargues;441;0;441;1,00
34298;Sauvian;5608;774;6382;1,14
34300;Servian;5517;0;5517;1,00
34302;Siran;754;24;778;1,03
34303;Sorbs;40;0;40;1,00
34304;Soubès;948;206;1154;1,22
34306;Soumont;246;0;246;1,00
34307;Sussargues;2840;0;2840;1,00
34301;Sète;45337;8866;54203;1,20
34299;Sérignan;8588;20716;29304;3,41
34308;Taussac-la-Billière;460;0;460;1,00
34309;Teyran;4787;0;4787;1,00
34310;Thézan-lès-Béziers;3124;0;3124;1,00
34311;Tourbes;1936;246;2182;1,13
34313;Tressan;683;0;683;1,00
34315;Usclas-d'Hérault;439;0;439;1,00
34316;Usclas-du-Bosc;250;0;250;1,00
34318;Vacquières;772;710;1482;1,92
34319;Vailhan;142;0;142;1,00
34320;Vailhauquès;2722;0;2722;1,00
34321;Valergues;2238;0;2238;1,00
34322;Valflaunès;795;0;795;1,00
34323;Valmascle;52;0;52;1,00
34324;Valras-Plage;4432;8304;12736;2,87
34325;Valros;1685;0;1685;1,00
34327;Vendargues;7262;72;7334;1,01
34329;Vendres;2616;15182;17798;6,80
34328;Vendémian;1149;0;1149;1,00
34331;Verreries-de-Moussans;84;0;84;1,00
34332;Vias;5952;29994;35946;6,04
34333;Vic-la-Gardiole;3428;3376;6804;1,98
34334;Vieussan;267;0;267;1,00
34335;Villemagne-l'Argentière;415;0;415;1,00
34336;Villeneuve-lès-Béziers;4500;1394;5894;1,31
34337;Villeneuve-lès-Maguelone;10872;0;10872;1,00
34338;Villeneuvette;65;0;65;1,00
34339;Villespassans;185;0;185;1,00
34340;Villetelle;1768;0;1768;1,00
34341;Villeveyrac;3972;390;4362;1,10
34342;Viols-en-Laval;231;0;231;1,00
34343;Viols-le-Fort;1229;0;1229;1,00
34326;Vélieux;95;0;95;1,00
